8chich,,,,fragile
cha3l,,,,angry
DaSr,,,,naughty
moudmin,modmin,moudmine,,addicted
ghabyy,ghaby,,,stupid
mkllkh,mkallakh,mkellekh,mkallekh,stupid
mjllj,mjellej,mjallaj,mjallej,stupid
kbir,kabir,,,big
sghir,saghir,,,small
m8rrs,mhrrs,m8arras,m8erras,broken
momill,,,,boring
Sl3,Sla3,Sle3,,bald
ghliD,,,,fat
Tebbouz,Tebbouzi,,,fat
r9i9,rqiq,,,thin
Twil,Twel,,,tall
9Sir,9ssir,,,short
zwin,,,,beautiful
bogos,,,,handsome
khayb,khayeb,5ayb,,ugly
8bil,hbil,,,crazy
mSTTi,mSaTTi,mSeTTi,,crazy
3aamr,aamr,3amer,3amr,full
jdid,,,,new
9dim,qdim,,,old
charf,chaarf,,,old
S3ib,,,,hard
9as7,9aas7,,,hard
sa8l,sahl,,,easy
m3TTl,m3eTTel,m3aTTel,m3Tal,late
7a9i9ia,haqiqia,,,real
3adi,,,,normal
gadd,,,,able
bsiT,basiT,,,simple
m399d,m3a99ad,m3e99ed,m3a99ed,complex
t9il,tqil,,,slow
t9il,tqil,,,heavy
was3,waas3,wase3,wasa3,wide
nachT,nacheT,,,happy
n9i,nqi,,,clean
khayb,khayeb,5ayb,,bad
3aadil,3adil,,,fair
ghany,ghani,,,rich
fa9ir,faqir,,,poor
Tabi3i,Taby3i,,,natural
mfrou9,mafrou9,mefro9,mafro9,separate
mch8our,mech8our,mch8or,mach8our,famous
fr7an,far7an,fer7an,farhan,glad
dourijin,dorijin,,,original
khayf,5ayf,khayef,5ayef,afraid
Dakhm,Da5m,,,huge
3imla9,,,,giant
za8i,zaa8i,zahi,zaahi,cheerful
fakhour,fakhor,fa5our,fa5or,proud
raDi,raaDi,,,satisfied
7azin,hazine,,,sad
nadm,naadm,naadem,,regretful
mkta2b,mkta2b,mekta2eb,mekta2ab,depressed
mskin,meskin,maskin,miskin,miserable
mrta7,merta7,marta7,,comfortable
mchghoul,mchghol,mechghoul,machghoul,busy
mchTon,mchToun,mechTon,machToun,worried
m3SSb,m3eSSeb,m3aSSab,m3aSSeb,nervous
mochaghib,mochaaghib,,,troublemaker
ghDban,ghaDban,gheDban,,angry
mrg,mreg,mrag,,embarrassed
7chman,7echman,7achman,,shy
kalm,calm,,,calm
wa7id,wa7yd,wahid,,lonely
mnba8er,mnba8ar,mnba8r,menba8ar,amazed
mstghrb,msteghreb,mstaghreb,mestaghreb,astonished
mchoki,,,,shocked
mrwwn,mrewwen,mrawwen,,confused
mtredded,mtradded,mtraddad,,hesitant
3yyan,3eyyan,,,tired
Tmma3,Tamma3,Temma3,,greedy
anani,anaani,,,selfish
skhi,s5i,,,generous
s9ram,se9ram,,,stingy
bakhil,ba5il,,,stingy
Drief,Drayaf,Drayef,Dryef,kind
Sbbar,Sabbar,,,patient
m2ddb,m2ddeb,m2eddeb,m2addeb,polite
m3gaz,me3gaz,ma3gaz,,lazy
mojta8id,mojtahid,moujta8id,,hardworking
choja3,chojaa3,,,brave
za3em,zaa3em,za3m,,brave
fDoli,fDouli,,,curious
mghrour,mghror,,,arrogant
mtwaD3,metwaDe3,mtwaDa3,,humble
ja8il,jaa8il,jahil,,ignorant
3abiT,,,,silly
dki,,,,smart
7akim,hakim,,,wise
nabigha,naabigha,,,genius
amine,,,,trustworthy
kddab,keddab,kaddab,,liar
ghddar,gheddar,ghaddar,,betrayer
nSSab,neSSab,naSSab,,swindler
nyya,nia,nya,,naive
mtfa2l,mtfa2el,motafa2il,,optimistic
mtcha2m,mtcha2em,motacha2im,,pessimistic
komik,comic,,,funny
ytim,yatim,itym,ytym,orphan
7amla,hamla,,,pregnant
ijabi,,,,positive
silbi,,,,negative
waa9i3i,wa9i3i,,,realistic
tay3yyef,tay3yyf,kay3iyyef,kay3yyaf,disgusting
tay3adi,kay3adi,,,contagious
3ma,,,,blind
Smk,Smek,Smak,,deaf
zizoun,zizon,,,mute
mchllel,mchallal,mchellal,mchallel,paralyzed
mo3wwa9,mo3a9,mo3aa9,,handicapped
3agr,3ager,3agar,,sterile
mj8oul,mj8ol,mjhoul,,unknown
m9boul,ma9boul,m9bol,,acceptable
m39ol,m39oul,,,reasonable
mn7az,men7az,ma7az,mn7aaz,biased
mo7ayid,mo7aayid,,,neutral
waaD7,waaDe7,,,clear
mojrim,moujrim,,,criminal
9ttal,9ettal,,,murderer
ghali,,,,expensive
rkhiS,,,,cheap
ga3,,,,all
lkhrin,khrin,,,other
zwin,,,,good
lkher,,,,last
b7al,,,,same
sghir,,,,little
mghyyer,,,,different
lli mora,,,,next
3aDim,,,,great
ma7lli,ma7alli,,,local
jtima3i,jtimaa3i,,,social
mo8im,mohim,mohimm,,important
waTani,,,,national
3aali,3ali,,,high
Twil,,,,long
ttani,tani,,,second
waas3,was3,,,large
3aamm,3amm,,,general
momkin,moumkin,,,possible
chaabb,,,,young
syasi,siasi,siyasi,,political
3omoumi,3omomi,,,public
mo7ddad,,,,particular
mojoud,mojod,,,available
bkri,bekri,,,early
asaasi,asasi,,,main
ra2isi,,,,major
9tiSadi,i9tiSadi,,,economic
mo2kkad,,,,sure
ghaliban,ghaaliban,,,likely
wa7id,wa7iid,,,only
dawli,,,,international
m2kked,mo2kkad,,,certain
mo3yyan,,,,certain
momyyaz,,,,special
S3ib,,,,difficult
m7loul,,,,open
kollchi,,,,whole
neSS,,,,half
7orr,,,,free
markazi,,,,central
mochtarak,,,,common
cha2i3,chaa2i3,,,common
mtchab8,,,,similar
Darouri,Darori,,,necessary
S7i7,,,,true
3aazib,3azib,,,single
wa7id,,,,single
khaSS,khaaSS,,,private
chkhSi,chekhSi,chakhSi,,personal
maali,,,,financial
ajnabi,,,,foreign
chdid,,,,strong
naa9S,,,,low
mtnwwe3,mtnowwe3,,,various
7aaDir,7aDir,,,present
malaki,,,,royal
khaT2,khaTi2,khaaT2,,wrong
bo7do,,,,individual
7aali,7ali,,,current
9aanouni,9anouni,9anoni,,legal
7adit,,,,modern
lkher,llekher,,,final
zwin,,,,nice
mzyan,mzian,mezian,,fine
9rib,,,,close
m39ol,m39oul,,,serious
saabi9,sabi9,,,previous
mo3tabar,,,,significant
ra2is,,,,prime
Sinaa3i,Sina3i,,,industrial
mo7ddad,,,,specific
monaasib,monasib,,,appropriate
3aali,,,,top
myyet,,,,dead
mt2ssef,,,,sorry
naaj7,naj7,,,successful
7rbi,7arbi,7erbi,,military
asaasi,asasi,,,basic
wa3i,waa3i,,,aware
mch8our,mch8or,,,popular
mi8ani,,,,professional
