8chich,هشيش
cha3l,شاعل
DaSr,ضاصر
moudmin,مدمن
ghabyy,غبي
mkllkh,مكلخ
mjllj,مجلج
kbir,كبير
sghir,صغير
m8rrs,مهرس
momill,ممل
Sl3,صلع
ghliD,غليض
Tebbouz,طبوز
r9i9,رقيق
Twil,طويل
9Sir,قصير
zwin,زوين
bogos,بوڭوس
khayb,خايب
8bil,هبيل
mSTTi,مصطي
3aamr,عامر
jdid,جديد
9dim,قديم
charf,شارف
S3ib,صعيب
9as7,قاسح
sa8l,ساهل
m3TTl,معطل
7a9i9ia,حقيقية
3adi,عادي
gadd,ڭاد
bsiT,بسيط
m399d,معقد
t9il,تقيل
was3,واسع
nachT,ناشط
n9i,نقي
khayb,خايب
3aadil,عادل
ghany,غني
fa9ir,فقير
Tabi3i,طبيعي
mfrou9,مفروق
mch8our,مشهور
fr7an,فرحان
dourijin,دوريجين
khayf,خايف
Dakhm,ضاخم
3imla9,عملاق
za8i,زاهي
fakhour,فخور
raDi,راضي
7azin,حازين
nadm,نادم
mkta2b,مكتئب
mskin,مسكين
mrta7,مرتاح
mchghoul,مشغول
mchTon,مشطون
m3SSb,معصب
mochaghib,مشاغب
ghDban,غضبان
mrg,مرڭ
7chman,حشمان
kalm,كالم
wa7id,واحيد
mnba8er,منبهر
mstghrb,مستغرب
mchoki,مشوكي
mrwwn,مرون
mtredded,متردد
3yyan,عيان
Tmma3,طماع
anani,اناني
skhi,سخي
s9ram,سقرام
bakhil,بخيل
Drief,ضريف
Sbbar,صبار
m2ddb,مأدب
m3gaz,معڭاز
mojta8id,مجتهد
choja3,شجاع
za3em,زاعم
fDoli,فضولي
mghrour,مغرور
mtwaD3,متواضع
ja8il,جاهل
3abiT,عبيط
dki,دكي
7akim,حكيم
nabigha,نابغة
amine,امين
kddab,كداب
ghddar,غدار
nSSab,نصاب
nyya,نية
mtfa2l,متفائل
mtcha2m,متشائم
komik,كوميك
ytim,يتيم
7amla,حاملة
ijabi,إيجابي
silbi,سلبي
waa9i3i,واقعي
tay3yyef,تايعيف
tay3adi,تايعادي
3ma,عما
Smk,صمك
zizoun,زيزون
mchllel,مشلل
mo3wwa9,معواق
